1, powerline ethernet adapter, electronics, 37.99, 3
2, steel power clubs, sports and outdoors, 40.00, 2
3, niacin 500mg tablets, vitamins and diet supplements, 23.88, 1
4, mechanical gaming keyboard, electronics, 45.99, 5
5, ergonomic wood footstool, office products, 32.99, 18
6, 24 inch computer monitor, electronics, 129.99, 0
7, elastic elbow support, health & household, 6.75, 7
8, Carditone 60 tablets, health & household, 25.00, 17
9, urethane bumper plates, sports & outdoors, 44.95, 1
10, merino wool socks, clothing shoes & jewelry, 25.95, 8
